title,acousticness,analysis_url,artist,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
She's Madonna,0.199,https://api.spotify.com/v1/audio-analysis/5E4DBh4ji9cBodEKIahvgu,Robbie Williams,0.669,256758,0.888,5E4DBh4ji9cBodEKIahvgu,1.84e-06,5,0.0797,-4.274,0,0.0339,124.002,4,https://api.spotify.com/v1/tracks/5E4DBh4ji9cBodEKIahvgu,audio_features,spotify:track:5E4DBh4ji9cBodEKIahvgu,0.619
The Road To Mandalay,0.102,https://api.spotify.com/v1/audio-analysis/2HEQUu0ydMFIp6JDvCHFzZ,Robbie Williams,0.616,237401,0.684,2HEQUu0ydMFIp6JDvCHFzZ,5.22e-05,0,0.144,-8.128,0,0.0285,99.24,4,https://api.spotify.com/v1/tracks/2HEQUu0ydMFIp6JDvCHFzZ,audio_features,spotify:track:2HEQUu0ydMFIp6JDvCHFzZ,0.505
Electric Blue,0.113,https://api.spotify.com/v1/audio-analysis/0KWcRXcnGoB0gWSu4mshF8,Arcade Fire,0.663,242373,0.774,0KWcRXcnGoB0gWSu4mshF8,0.112,0,0.462,-5.157,1,0.0863,102.982,4,https://api.spotify.com/v1/tracks/0KWcRXcnGoB0gWSu4mshF8,audio_features,spotify:track:0KWcRXcnGoB0gWSu4mshF8,0.681
Everything Now,0.00171,https://api.spotify.com/v1/audio-analysis/7KsZHCfOitA5V9oQYVdltG,Arcade Fire,0.548,303013,0.865,7KsZHCfOitA5V9oQYVdltG,0.000449,0,0.457,-5.325,1,0.0302,116.046,4,https://api.spotify.com/v1/tracks/7KsZHCfOitA5V9oQYVdltG,audio_features,spotify:track:7KsZHCfOitA5V9oQYVdltG,0.61
Nightclub,0.0772,https://api.spotify.com/v1/audio-analysis/0VMcTp1INmOd8UwIRa8Id6,Balthazar,0.737,177227,0.567,0VMcTp1INmOd8UwIRa8Id6,0.0183,11,0.136,-6.624,0,0.0297,122.995,4,https://api.spotify.com/v1/tracks/0VMcTp1INmOd8UwIRa8Id6,audio_features,spotify:track:0VMcTp1INmOd8UwIRa8Id6,0.795
All My Life,0.00295,https://api.spotify.com/v1/audio-analysis/64hfMy6ufygqndgfpDYW1C,Chef'Special,0.564,191236,0.7,64hfMy6ufygqndgfpDYW1C,0.0,7,0.155,-5.295,1,0.037,81.997,4,https://api.spotify.com/v1/tracks/64hfMy6ufygqndgfpDYW1C,audio_features,spotify:track:64hfMy6ufygqndgfpDYW1C,0.448
Melt,0.39,https://api.spotify.com/v1/audio-analysis/7F9NJCMko9LLUrHxBS2Spb,Nick Murphy / Chet Faker,0.764,250609,0.52,7F9NJCMko9LLUrHxBS2Spb,0.00665,9,0.098,-10.518,0,0.18,112.061,3,https://api.spotify.com/v1/tracks/7F9NJCMko9LLUrHxBS2Spb,audio_features,spotify:track:7F9NJCMko9LLUrHxBS2Spb,0.462
Mama's Gun,0.691,https://api.spotify.com/v1/audio-analysis/5BGNCHo7771J5WcAWRO3jP,Glass Animals,0.449,266747,0.319,5BGNCHo7771J5WcAWRO3jP,8.3e-06,6,0.116,-10.139,0,0.0267,90.026,4,https://api.spotify.com/v1/tracks/5BGNCHo7771J5WcAWRO3jP,audio_features,spotify:track:5BGNCHo7771J5WcAWRO3jP,0.231
Poplar St,0.23,https://api.spotify.com/v1/audio-analysis/5YVzTtSHSp0XiqYa26inUl,Glass Animals,0.591,262540,0.445,5YVzTtSHSp0XiqYa26inUl,0.00419,7,0.139,-7.791,1,0.0296,69.012,4,https://api.spotify.com/v1/tracks/5YVzTtSHSp0XiqYa26inUl,audio_features,spotify:track:5YVzTtSHSp0XiqYa26inUl,0.269
Tiptoe,0.00158,https://api.spotify.com/v1/audio-analysis/6YUFByainM0IB52DNObY5t,Imagine Dragons,0.528,193000,0.821,6YUFByainM0IB52DNObY5t,1.8e-05,6,0.0807,-5.822,1,0.0322,120.027,4,https://api.spotify.com/v1/tracks/6YUFByainM0IB52DNObY5t,audio_features,spotify:track:6YUFByainM0IB52DNObY5t,0.213
It's Time,0.0168,https://api.spotify.com/v1/audio-analysis/3xqF04FdMK7gpIPG3SPFpY,Imagine Dragons,0.657,237987,0.885,3xqF04FdMK7gpIPG3SPFpY,0.0,2,0.147,-4.695,1,0.0344,105.011,4,https://api.spotify.com/v1/tracks/3xqF04FdMK7gpIPG3SPFpY,audio_features,spotify:track:3xqF04FdMK7gpIPG3SPFpY,0.869
