title,acousticness,analysis_url,artist,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
Do You Want a Man?,0.347,https://api.spotify.com/v1/audio-analysis/5XBVdsTVE0aqhQoYPGtbJ9,The Vaccines,0.627,167387,0.883,5XBVdsTVE0aqhQoYPGtbJ9,0.0944,8,0.677,-5.606,1,0.0368,123.01,4,https://api.spotify.com/v1/tracks/5XBVdsTVE0aqhQoYPGtbJ9,audio_features,spotify:track:5XBVdsTVE0aqhQoYPGtbJ9,0.894
You Only Live Once,0.0238,https://api.spotify.com/v1/audio-analysis/4fPBB44eDH71YohayI4eKV,The Strokes,0.63,189227,0.908,4fPBB44eDH71YohayI4eKV,0.592,11,0.116,-2.42,1,0.0326,120.522,4,https://api.spotify.com/v1/tracks/4fPBB44eDH71YohayI4eKV,audio_features,spotify:track:4fPBB44eDH71YohayI4eKV,0.968
Two Doors Down,0.00732,https://api.spotify.com/v1/audio-analysis/3c2r64hELj8Afik0BKyt6r,Mystery Jets,0.557,218453,0.946,3c2r64hELj8Afik0BKyt6r,0.0,1,0.0919,-3.805,0,0.0731,123.936,4,https://api.spotify.com/v1/tracks/3c2r64hELj8Afik0BKyt6r,audio_features,spotify:track:3c2r64hELj8Afik0BKyt6r,0.848
You Want History,0.00682,https://api.spotify.com/v1/audio-analysis/7N0PmoRpP2pskkXfQt1vL2,Kaiser Chiefs,0.524,224813,0.948,7N0PmoRpP2pskkXfQt1vL2,0.00505,1,0.0969,-3.682,1,0.104,127.313,4,https://api.spotify.com/v1/tracks/7N0PmoRpP2pskkXfQt1vL2,audio_features,spotify:track:7N0PmoRpP2pskkXfQt1vL2,0.704
Monotonia,0.509,https://api.spotify.com/v1/audio-analysis/58uDCyprC3aa3x70fUv8dk,The Growlers,0.61,244180,0.802,58uDCyprC3aa3x70fUv8dk,0.0149,2,0.104,-4.582,0,0.0281,122.071,4,https://api.spotify.com/v1/tracks/58uDCyprC3aa3x70fUv8dk,audio_features,spotify:track:58uDCyprC3aa3x70fUv8dk,0.756
Alright,0.000479,https://api.spotify.com/v1/audio-analysis/5xC8uOesnn0udeXAYlAnoY,Supergrass,0.467,180880,0.958,5xC8uOesnn0udeXAYlAnoY,0.199,4,0.299,-4.808,0,0.0775,145.92,4,https://api.spotify.com/v1/tracks/5xC8uOesnn0udeXAYlAnoY,audio_features,spotify:track:5xC8uOesnn0udeXAYlAnoY,0.701
Melody Calling,0.00108,https://api.spotify.com/v1/audio-analysis/0ATDqkKyQsGvWQoW1rVUxT,The Vaccines,0.593,178613,0.908,0ATDqkKyQsGvWQoW1rVUxT,0.376,11,0.369,-8.304,0,0.0478,145.981,4,https://api.spotify.com/v1/tracks/0ATDqkKyQsGvWQoW1rVUxT,audio_features,spotify:track:0ATDqkKyQsGvWQoW1rVUxT,0.855
"Lights Out, Words Gone",0.577,https://api.spotify.com/v1/audio-analysis/1bKQdPJ9lid6Yg26HAx8Tf,Bombay Bicycle Club,0.649,301347,0.76,1bKQdPJ9lid6Yg26HAx8Tf,0.332,8,0.107,-7.275,1,0.0298,106.002,4,https://api.spotify.com/v1/tracks/1bKQdPJ9lid6Yg26HAx8Tf,audio_features,spotify:track:1bKQdPJ9lid6Yg26HAx8Tf,0.654
Whiteout,0.355,https://api.spotify.com/v1/audio-analysis/41D0xpS9ClHkBirerj8Dqs,Warpaint,0.686,282440,0.748,41D0xpS9ClHkBirerj8Dqs,0.278,9,0.107,-6.788,0,0.0394,116.974,4,https://api.spotify.com/v1/tracks/41D0xpS9ClHkBirerj8Dqs,audio_features,spotify:track:41D0xpS9ClHkBirerj8Dqs,0.683
Wannabe In L.A,0.263,https://api.spotify.com/v1/audio-analysis/3ZClafX6fRAkQjo8Pldq37,Eagles Of Death Metal,0.637,135853,0.945,3ZClafX6fRAkQjo8Pldq37,0.14,5,0.093,-3.955,0,0.0463,158.314,4,https://api.spotify.com/v1/tracks/3ZClafX6fRAkQjo8Pldq37,audio_features,spotify:track:3ZClafX6fRAkQjo8Pldq37,0.967
Heaven in Hell,0.185,https://api.spotify.com/v1/audio-analysis/4hQdpbUJTPVBYV7ebPK6NT,The Growlers,0.629,222089,0.799,4hQdpbUJTPVBYV7ebPK6NT,0.0115,0,0.238,-4.635,1,0.0402,127.952,4,https://api.spotify.com/v1/tracks/4hQdpbUJTPVBYV7ebPK6NT,audio_features,spotify:track:4hQdpbUJTPVBYV7ebPK6NT,0.922
Henrietta,0.0178,https://api.spotify.com/v1/audio-analysis/69h2mpzNUmdEg5egeNa1ki,The Fratellis,0.605,212493,0.954,69h2mpzNUmdEg5egeNa1ki,0.0,6,0.225,-3.137,0,0.0777,122.458,4,https://api.spotify.com/v1/tracks/69h2mpzNUmdEg5egeNa1ki,audio_features,spotify:track:69h2mpzNUmdEg5egeNa1ki,0.837
