title,acousticness,analysis_url,artist,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
No Role Modelz,0.302,https://api.spotify.com/v1/audio-analysis/62vpWI1CHwFy7tMIcSStl8,J. Cole,0.696,292987,0.521,62vpWI1CHwFy7tMIcSStl8,0.0,10,0.0565,-8.465,0,0.332,100.0,4,https://api.spotify.com/v1/tracks/62vpWI1CHwFy7tMIcSStl8,audio_features,spotify:track:62vpWI1CHwFy7tMIcSStl8,0.458
Deadcrush (feat. Danny Brown) - The Alchemist x Trooko Version,0.000246,https://api.spotify.com/v1/audio-analysis/1aX1uTxj1ehfaKhqz2LcMy,Danny Brown,0.481,243570,0.683,1aX1uTxj1ehfaKhqz2LcMy,0.000207,5,0.358,-6.13,0,0.0759,71.566,4,https://api.spotify.com/v1/tracks/1aX1uTxj1ehfaKhqz2LcMy,audio_features,spotify:track:1aX1uTxj1ehfaKhqz2LcMy,0.37
Morph,0.0747,https://api.spotify.com/v1/audio-analysis/01vv2AjxgP4uUyb8waYO5Y,Twenty One Pilots,0.734,258853,0.607,01vv2AjxgP4uUyb8waYO5Y,0.000577,8,0.0968,-7.249,0,0.0806,90.023,4,https://api.spotify.com/v1/tracks/01vv2AjxgP4uUyb8waYO5Y,audio_features,spotify:track:01vv2AjxgP4uUyb8waYO5Y,0.518
Chlorine,0.0735,https://api.spotify.com/v1/audio-analysis/23OXdR7YuUBVWh5hSnYJau,Twenty One Pilots,0.609,324467,0.674,23OXdR7YuUBVWh5hSnYJau,0.06,10,0.345,-7.388,0,0.0548,90.009,4,https://api.spotify.com/v1/tracks/23OXdR7YuUBVWh5hSnYJau,audio_features,spotify:track:23OXdR7YuUBVWh5hSnYJau,0.315
Pet Cheetah,0.0615,https://api.spotify.com/v1/audio-analysis/7daBwTiPNOVgoMUG4SICgh,Twenty One Pilots,0.653,198360,0.684,7daBwTiPNOVgoMUG4SICgh,0.000387,7,0.27,-7.052,0,0.199,110.049,4,https://api.spotify.com/v1/tracks/7daBwTiPNOVgoMUG4SICgh,audio_features,spotify:track:7daBwTiPNOVgoMUG4SICgh,0.355
Huilend Naar De Club,0.294,https://api.spotify.com/v1/audio-analysis/2PBdpbHKhTSDIcKAzPR6Oo,De Jeugd Van Tegenwoordig,0.399,327560,0.713,2PBdpbHKhTSDIcKAzPR6Oo,0.0,5,0.101,-3.76,0,0.0632,106.145,4,https://api.spotify.com/v1/tracks/2PBdpbHKhTSDIcKAzPR6Oo,audio_features,spotify:track:2PBdpbHKhTSDIcKAzPR6Oo,0.326
A.D.H.D,0.33,https://api.spotify.com/v1/audio-analysis/2MYl0er3UZ1RlKwRb5LODh,Kendrick Lamar,0.609,215509,0.799,2MYl0er3UZ1RlKwRb5LODh,0.0,9,0.108,-6.883,1,0.24,157.74,4,https://api.spotify.com/v1/tracks/2MYl0er3UZ1RlKwRb5LODh,audio_features,spotify:track:2MYl0er3UZ1RlKwRb5LODh,0.582
The Hype,0.0105,https://api.spotify.com/v1/audio-analysis/7I3skNaQdvZSS7zXY2VHId,Twenty One Pilots,0.53,265373,0.816,7I3skNaQdvZSS7zXY2VHId,0.00061,9,0.379,-6.149,1,0.0503,87.019,4,https://api.spotify.com/v1/tracks/7I3skNaQdvZSS7zXY2VHId,audio_features,spotify:track:7I3skNaQdvZSS7zXY2VHId,0.371
ATM,0.115,https://api.spotify.com/v1/audio-analysis/2UciqgwVDwro0fev3MFbxJ,J. Cole,0.719,216727,0.497,2UciqgwVDwro0fev3MFbxJ,0.0,8,0.0898,-7.661,1,0.681,81.651,4,https://api.spotify.com/v1/tracks/2UciqgwVDwro0fev3MFbxJ,audio_features,spotify:track:2UciqgwVDwro0fev3MFbxJ,0.345
Deze Donkere Jongen Komt Zo Hard / De Game Gaat Sluiten,0.0206,https://api.spotify.com/v1/audio-analysis/720X7ZiD3hyjtlhkz4yDNZ,De Jeugd Van Tegenwoordig,0.813,210160,0.61,720X7ZiD3hyjtlhkz4yDNZ,0.0,9,0.878,-7.096,0,0.155,120.028,4,https://api.spotify.com/v1/tracks/720X7ZiD3hyjtlhkz4yDNZ,audio_features,spotify:track:720X7ZiD3hyjtlhkz4yDNZ,0.936
