title,acousticness,analysis_url,artist,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
Tightrope,0.0107,https://api.spotify.com/v1/audio-analysis/7lLLFbYh5JpOTnQCetSfWn,Young the Giant,0.847,238373,0.727,7lLLFbYh5JpOTnQCetSfWn,2.41e-05,0,0.0788,-6.169,1,0.0485,118.021,4,https://api.spotify.com/v1/tracks/7lLLFbYh5JpOTnQCetSfWn,audio_features,spotify:track:7lLLFbYh5JpOTnQCetSfWn,0.724
Panoramic Girl,0.226,https://api.spotify.com/v1/audio-analysis/7DfWLV07uZV3rwoKvO6TjI,Young the Giant,0.673,242627,0.748,7DfWLV07uZV3rwoKvO6TjI,0.00134,11,0.146,-4.206,0,0.0268,108.981,4,https://api.spotify.com/v1/tracks/7DfWLV07uZV3rwoKvO6TjI,audio_features,spotify:track:7DfWLV07uZV3rwoKvO6TjI,0.444
Glory,0.081,https://api.spotify.com/v1/audio-analysis/14hMu4JnYnLj0FBuFfHNNN,Young the Giant,0.63,198320,0.663,14hMu4JnYnLj0FBuFfHNNN,0.00186,5,0.101,-6.728,0,0.0315,155.964,4,https://api.spotify.com/v1/tracks/14hMu4JnYnLj0FBuFfHNNN,audio_features,spotify:track:14hMu4JnYnLj0FBuFfHNNN,0.683
You Know Me Too Well,0.00122,https://api.spotify.com/v1/audio-analysis/1BpmL4NBhX2P7GxuoVtojI,Nothing But Thieves,0.605,233485,0.688,1BpmL4NBhX2P7GxuoVtojI,0.0036,11,0.277,-5.042,0,0.0325,135.936,4,https://api.spotify.com/v1/tracks/1BpmL4NBhX2P7GxuoVtojI,audio_features,spotify:track:1BpmL4NBhX2P7GxuoVtojI,0.773
Take This Lonely Heart,0.00146,https://api.spotify.com/v1/audio-analysis/4E3WT2j2DDQG3QPVCevYEK,Nothing But Thieves,0.526,241589,0.758,4E3WT2j2DDQG3QPVCevYEK,0.0158,8,0.121,-5.458,0,0.0337,127.72,4,https://api.spotify.com/v1/tracks/4E3WT2j2DDQG3QPVCevYEK,audio_features,spotify:track:4E3WT2j2DDQG3QPVCevYEK,0.528
Brother's Keeper,0.00269,https://api.spotify.com/v1/audio-analysis/2tXxLxP92HeYt4nojiDn7g,Young the Giant,0.705,250493,0.816,2tXxLxP92HeYt4nojiDn7g,0.00185,7,0.0969,-3.617,0,0.0488,120.019,4,https://api.spotify.com/v1/tracks/2tXxLxP92HeYt4nojiDn7g,audio_features,spotify:track:2tXxLxP92HeYt4nojiDn7g,0.615
World Class Cinema,0.377,https://api.spotify.com/v1/audio-analysis/0VzNjABdomA99IvMvqI6cx,Gus Dapperton,0.569,199149,0.779,0VzNjABdomA99IvMvqI6cx,0.0,8,0.0286,-3.662,1,0.0359,187.952,4,https://api.spotify.com/v1/tracks/0VzNjABdomA99IvMvqI6cx,audio_features,spotify:track:0VzNjABdomA99IvMvqI6cx,0.878
On Fire,0.011,https://api.spotify.com/v1/audio-analysis/7dvLgy2cZz8CO7ZsS6K7rD,Oscar and the Wolf,0.688,238492,0.868,7dvLgy2cZz8CO7ZsS6K7rD,0.0,4,0.312,-5.756,0,0.0362,116.948,4,https://api.spotify.com/v1/tracks/7dvLgy2cZz8CO7ZsS6K7rD,audio_features,spotify:track:7dvLgy2cZz8CO7ZsS6K7rD,0.44
Elsewhere,0.126,https://api.spotify.com/v1/audio-analysis/0xTQhR3AEyLAd6Wp5yMNtU,Young the Giant,0.506,224413,0.674,0xTQhR3AEyLAd6Wp5yMNtU,0.0,5,0.113,-6.661,0,0.0868,115.9,4,https://api.spotify.com/v1/tracks/0xTQhR3AEyLAd6Wp5yMNtU,audio_features,spotify:track:0xTQhR3AEyLAd6Wp5yMNtU,0.189
Repeat,0.0454,https://api.spotify.com/v1/audio-analysis/7w5Ww1cW8U9v8Q3g4qLpVD,Young the Giant,0.656,185200,0.806,7w5Ww1cW8U9v8Q3g4qLpVD,2.33e-05,1,0.341,-5.354,1,0.0433,149.975,4,https://api.spotify.com/v1/tracks/7w5Ww1cW8U9v8Q3g4qLpVD,audio_features,spotify:track:7w5Ww1cW8U9v8Q3g4qLpVD,0.572
Indigo Puff,0.000686,https://api.spotify.com/v1/audio-analysis/3pJQY7UuX0DcE8pgLZhCjf,Sundara Karma,0.585,231722,0.556,3pJQY7UuX0DcE8pgLZhCjf,0.000132,2,0.151,-5.075,1,0.0274,142.144,4,https://api.spotify.com/v1/tracks/3pJQY7UuX0DcE8pgLZhCjf,audio_features,spotify:track:3pJQY7UuX0DcE8pgLZhCjf,0.414
