title,acousticness,analysis_url,artist,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
NO HALO,0.41,https://api.spotify.com/v1/audio-analysis/694vvR5o19xHPhhJ5QdLN7,BROCKHAMPTON,0.643,259747,0.573,694vvR5o19xHPhhJ5QdLN7,0.00017,4,0.0695,-7.034,1,0.0709,165.192,4,https://api.spotify.com/v1/tracks/694vvR5o19xHPhhJ5QdLN7,audio_features,spotify:track:694vvR5o19xHPhhJ5QdLN7,0.47
La Cintura,0.0201,https://api.spotify.com/v1/audio-analysis/6jS8cXW9QsiQKiQ3LFiM4n,Alvaro Soler,0.706,204660,0.845,6jS8cXW9QsiQKiQ3LFiM4n,0.0,6,0.358,-4.102,0,0.0692,100.015,4,https://api.spotify.com/v1/tracks/6jS8cXW9QsiQKiQ3LFiM4n,audio_features,spotify:track:6jS8cXW9QsiQKiQ3LFiM4n,0.742
Me Gustas Tu,0.663,https://api.spotify.com/v1/audio-analysis/6b37xrsNCWYIUphFBazqD6,Manu Chao,0.657,239987,0.741,6b37xrsNCWYIUphFBazqD6,0.494,11,0.222,-6.822,0,0.0825,175.949,4,https://api.spotify.com/v1/tracks/6b37xrsNCWYIUphFBazqD6,audio_features,spotify:track:6b37xrsNCWYIUphFBazqD6,0.908
Loca,0.0347,https://api.spotify.com/v1/audio-analysis/3bcJMGce4XVpJAYAfEyWoD,Alvaro Soler,0.794,191129,0.579,3bcJMGce4XVpJAYAfEyWoD,0.0,5,0.125,-8.064,0,0.0432,113.034,4,https://api.spotify.com/v1/tracks/3bcJMGce4XVpJAYAfEyWoD,audio_features,spotify:track:3bcJMGce4XVpJAYAfEyWoD,0.519
ave cesaria,0.117,https://api.spotify.com/v1/audio-analysis/66u6ycRUqlrW9C05QJUmSo,Stromae,0.724,249520,0.659,66u6ycRUqlrW9C05QJUmSo,2.89e-06,11,0.208,-8.254,0,0.202,113.009,4,https://api.spotify.com/v1/tracks/66u6ycRUqlrW9C05QJUmSo,audio_features,spotify:track:66u6ycRUqlrW9C05QJUmSo,0.377
Ritual,0.157,https://api.spotify.com/v1/audio-analysis/3M9Apu4OZfylLTFKvgEtKa,Tiësto,0.647,198996,0.726,3M9Apu4OZfylLTFKvgEtKa,0.0,3,0.0844,-4.389,0,0.0552,114.996,4,https://api.spotify.com/v1/tracks/3M9Apu4OZfylLTFKvgEtKa,audio_features,spotify:track:3M9Apu4OZfylLTFKvgEtKa,0.767
Huilend Naar De Club,0.294,https://api.spotify.com/v1/audio-analysis/2PBdpbHKhTSDIcKAzPR6Oo,De Jeugd Van Tegenwoordig,0.399,327560,0.713,2PBdpbHKhTSDIcKAzPR6Oo,0.0,5,0.101,-3.76,0,0.0632,106.145,4,https://api.spotify.com/v1/tracks/2PBdpbHKhTSDIcKAzPR6Oo,audio_features,spotify:track:2PBdpbHKhTSDIcKAzPR6Oo,0.326
Sterrenstof,0.317,https://api.spotify.com/v1/audio-analysis/7D5vAulNfrQV6xEwzgH0OF,De Jeugd Van Tegenwoordig,0.714,220947,0.79,7D5vAulNfrQV6xEwzgH0OF,1.27e-05,5,0.198,-3.757,0,0.109,97.012,4,https://api.spotify.com/v1/tracks/7D5vAulNfrQV6xEwzgH0OF,audio_features,spotify:track:7D5vAulNfrQV6xEwzgH0OF,0.904
Get Spanish,0.0951,https://api.spotify.com/v1/audio-analysis/7yHDSgozeHWY4uqDy65nKl,De Jeugd Van Tegenwoordig,0.817,214453,0.777,7yHDSgozeHWY4uqDy65nKl,0.000207,7,0.0646,-4.624,0,0.112,122.014,4,https://api.spotify.com/v1/tracks/7yHDSgozeHWY4uqDy65nKl,audio_features,spotify:track:7yHDSgozeHWY4uqDy65nKl,0.937
De Formule,0.000583,https://api.spotify.com/v1/audio-analysis/5VRI5mHFHJVRoXIYSHOqEz,De Jeugd Van Tegenwoordig,0.728,312813,0.633,5VRI5mHFHJVRoXIYSHOqEz,0.0409,7,0.0854,-7.502,1,0.0935,115.017,4,https://api.spotify.com/v1/tracks/5VRI5mHFHJVRoXIYSHOqEz,audio_features,spotify:track:5VRI5mHFHJVRoXIYSHOqEz,0.81
