title,acousticness,analysis_url,artist,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
Seed (Intro),0.854,https://api.spotify.com/v1/audio-analysis/0Yv0JvKwhotLoLouRGoGUc,Tash Sultana,0.362,156495,0.332,0Yv0JvKwhotLoLouRGoGUc,0.0,4,0.179,-10.93,0,0.0372,100.397,4,https://api.spotify.com/v1/tracks/0Yv0JvKwhotLoLouRGoGUc,audio_features,spotify:track:0Yv0JvKwhotLoLouRGoGUc,0.192
Big Smoke,0.0324,https://api.spotify.com/v1/audio-analysis/5ydb0ngKg248ofPWXSFjpG,Tash Sultana,0.673,238784,0.55,5ydb0ngKg248ofPWXSFjpG,0.00319,2,0.06,-6.595,1,0.0631,129.982,4,https://api.spotify.com/v1/tracks/5ydb0ngKg248ofPWXSFjpG,audio_features,spotify:track:5ydb0ngKg248ofPWXSFjpG,0.54
Cigarettes,0.032,https://api.spotify.com/v1/audio-analysis/4ywIrrFcXcD8DTn3EuGYxd,Tash Sultana,0.557,322716,0.753,4ywIrrFcXcD8DTn3EuGYxd,6.86e-05,11,0.0598,-5.052,0,0.233,158.023,4,https://api.spotify.com/v1/tracks/4ywIrrFcXcD8DTn3EuGYxd,audio_features,spotify:track:4ywIrrFcXcD8DTn3EuGYxd,0.562
Murder to the Mind - Album Mix,0.0972,https://api.spotify.com/v1/audio-analysis/5cvnnMOfsLkyA9sxR5Ycq9,Tash Sultana,0.574,256840,0.582,5cvnnMOfsLkyA9sxR5Ycq9,5.64e-06,10,0.393,-7.496,0,0.0742,86.983,4,https://api.spotify.com/v1/tracks/5cvnnMOfsLkyA9sxR5Ycq9,audio_features,spotify:track:5cvnnMOfsLkyA9sxR5Ycq9,0.647
Seven,0.00548,https://api.spotify.com/v1/audio-analysis/65sqz9bmo4Sad2pL8GiQ4J,Tash Sultana,0.477,306587,0.389,65sqz9bmo4Sad2pL8GiQ4J,0.712,5,0.34,-9.802,0,0.0484,119.023,4,https://api.spotify.com/v1/tracks/65sqz9bmo4Sad2pL8GiQ4J,audio_features,spotify:track:65sqz9bmo4Sad2pL8GiQ4J,0.0779
Salvation,0.0696,https://api.spotify.com/v1/audio-analysis/1dNJrrg6fBdGfEsdIw2Yc1,Tash Sultana,0.509,259401,0.555,1dNJrrg6fBdGfEsdIw2Yc1,0.000382,5,0.092,-7.809,0,0.0632,163.959,4,https://api.spotify.com/v1/tracks/1dNJrrg6fBdGfEsdIw2Yc1,audio_features,spotify:track:1dNJrrg6fBdGfEsdIw2Yc1,0.373
Pink Moon,0.539,https://api.spotify.com/v1/audio-analysis/1FGrw8CHZlMcMWzck3oCng,Tash Sultana,0.28,410998,0.297,1FGrw8CHZlMcMWzck3oCng,0.000487,3,0.18,-9.355,0,0.0308,86.936,4,https://api.spotify.com/v1/tracks/1FGrw8CHZlMcMWzck3oCng,audio_features,spotify:track:1FGrw8CHZlMcMWzck3oCng,0.135
Mellow Marmalade,0.897,https://api.spotify.com/v1/audio-analysis/4yPPhwcX1pjUs7lFsFGhkJ,Tash Sultana,0.534,232527,0.274,4yPPhwcX1pjUs7lFsFGhkJ,0.0,9,0.27,-10.531,1,0.0528,135.038,4,https://api.spotify.com/v1/tracks/4yPPhwcX1pjUs7lFsFGhkJ,audio_features,spotify:track:4yPPhwcX1pjUs7lFsFGhkJ,0.457
Harvest Love,0.314,https://api.spotify.com/v1/audio-analysis/1ErxveD3SbK3TVJwMhvUib,Tash Sultana,0.276,365929,0.251,1ErxveD3SbK3TVJwMhvUib,6.05e-06,2,0.122,-9.078,1,0.0295,95.705,4,https://api.spotify.com/v1/tracks/1ErxveD3SbK3TVJwMhvUib,audio_features,spotify:track:1ErxveD3SbK3TVJwMhvUib,0.18
Mystik - Album Mix,0.0728,https://api.spotify.com/v1/audio-analysis/0nFYeoxirgu9VwXvUupiOG,Tash Sultana,0.607,248192,0.719,0nFYeoxirgu9VwXvUupiOG,5.58e-06,0,0.113,-6.743,1,0.0982,132.607,4,https://api.spotify.com/v1/tracks/0nFYeoxirgu9VwXvUupiOG,audio_features,spotify:track:0nFYeoxirgu9VwXvUupiOG,0.511
Free Mind,0.51,https://api.spotify.com/v1/audio-analysis/4GMgAFgmg5lLZPIWWgvbvK,Tash Sultana,0.621,205612,0.68,4GMgAFgmg5lLZPIWWgvbvK,4.61e-05,8,0.325,-7.968,0,0.0864,75.39,4,https://api.spotify.com/v1/tracks/4GMgAFgmg5lLZPIWWgvbvK,audio_features,spotify:track:4GMgAFgmg5lLZPIWWgvbvK,0.54
Blackbird,0.729,https://api.spotify.com/v1/audio-analysis/2M6hxptv4hht21Wc0yTpNA,Tash Sultana,0.365,574512,0.651,2M6hxptv4hht21Wc0yTpNA,0.542,8,0.108,-8.591,1,0.0464,141.452,4,https://api.spotify.com/v1/tracks/2M6hxptv4hht21Wc0yTpNA,audio_features,spotify:track:2M6hxptv4hht21Wc0yTpNA,0.207
Outro,0.683,https://api.spotify.com/v1/audio-analysis/3v7O0ssxCj1scg1QhLGOhy,Tash Sultana,0.333,111882,0.267,3v7O0ssxCj1scg1QhLGOhy,0.835,2,0.0968,-11.594,1,0.0356,84.042,3,https://api.spotify.com/v1/tracks/3v7O0ssxCj1scg1QhLGOhy,audio_features,spotify:track:3v7O0ssxCj1scg1QhLGOhy,0.129
