title,acousticness,analysis_url,artist,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
Superposition,0.00289,https://api.spotify.com/v1/audio-analysis/67YPjbcxUypwNOwYBZquq1,Young the Giant,0.593,230960,0.697,67YPjbcxUypwNOwYBZquq1,0.0257,7,0.14,-5.416,1,0.0399,170.0,4,https://api.spotify.com/v1/tracks/67YPjbcxUypwNOwYBZquq1,audio_features,spotify:track:67YPjbcxUypwNOwYBZquq1,0.428
Simplify,0.00123,https://api.spotify.com/v1/audio-analysis/4bsMM8V87y5igGk6urk6b7,Young the Giant,0.456,212213,0.86,4bsMM8V87y5igGk6urk6b7,0.0,4,0.154,-3.444,1,0.0403,99.159,4,https://api.spotify.com/v1/tracks/4bsMM8V87y5igGk6urk6b7,audio_features,spotify:track:4bsMM8V87y5igGk6urk6b7,0.387
Call Me Back,0.202,https://api.spotify.com/v1/audio-analysis/14KP6cmTImZmrcAC5m0Azd,Young the Giant,0.75,237747,0.365,14KP6cmTImZmrcAC5m0Azd,0.0082,7,0.122,-6.741,1,0.0372,89.981,4,https://api.spotify.com/v1/tracks/14KP6cmTImZmrcAC5m0Azd,audio_features,spotify:track:14KP6cmTImZmrcAC5m0Azd,0.101
Heat of the Summer,0.00515,https://api.spotify.com/v1/audio-analysis/649o53ULWYN1y7V2OI5kgo,Young the Giant,0.602,211387,0.856,649o53ULWYN1y7V2OI5kgo,2.97e-06,7,0.098,-5.558,1,0.0458,80.021,4,https://api.spotify.com/v1/tracks/649o53ULWYN1y7V2OI5kgo,audio_features,spotify:track:649o53ULWYN1y7V2OI5kgo,0.895
Oblivion,0.00165,https://api.spotify.com/v1/audio-analysis/17UvqEUnFxX3jyLAqiIsCw,Young the Giant,0.305,228573,0.704,17UvqEUnFxX3jyLAqiIsCw,0.0357,4,0.172,-7.727,1,0.0394,169.91,4,https://api.spotify.com/v1/tracks/17UvqEUnFxX3jyLAqiIsCw,audio_features,spotify:track:17UvqEUnFxX3jyLAqiIsCw,0.38
Darkest Shade of Blue,0.862,https://api.spotify.com/v1/audio-analysis/7c2nxdvX2qbrT6ilCID2TG,Young the Giant,0.382,133773,0.241,7c2nxdvX2qbrT6ilCID2TG,0.00583,9,0.0995,-11.942,1,0.04,128.17,4,https://api.spotify.com/v1/tracks/7c2nxdvX2qbrT6ilCID2TG,audio_features,spotify:track:7c2nxdvX2qbrT6ilCID2TG,0.103
Brother's Keeper,0.00269,https://api.spotify.com/v1/audio-analysis/2tXxLxP92HeYt4nojiDn7g,Young the Giant,0.705,250493,0.816,2tXxLxP92HeYt4nojiDn7g,0.00185,7,0.0969,-3.617,0,0.0488,120.019,4,https://api.spotify.com/v1/tracks/2tXxLxP92HeYt4nojiDn7g,audio_features,spotify:track:2tXxLxP92HeYt4nojiDn7g,0.615
Glory,0.081,https://api.spotify.com/v1/audio-analysis/14hMu4JnYnLj0FBuFfHNNN,Young the Giant,0.63,198320,0.663,14hMu4JnYnLj0FBuFfHNNN,0.00186,5,0.101,-6.728,0,0.0315,155.964,4,https://api.spotify.com/v1/tracks/14hMu4JnYnLj0FBuFfHNNN,audio_features,spotify:track:14hMu4JnYnLj0FBuFfHNNN,0.683
Tightrope,0.0107,https://api.spotify.com/v1/audio-analysis/7lLLFbYh5JpOTnQCetSfWn,Young the Giant,0.847,238373,0.727,7lLLFbYh5JpOTnQCetSfWn,2.41e-05,0,0.0788,-6.169,1,0.0485,118.021,4,https://api.spotify.com/v1/tracks/7lLLFbYh5JpOTnQCetSfWn,audio_features,spotify:track:7lLLFbYh5JpOTnQCetSfWn,0.724
Panoramic Girl,0.226,https://api.spotify.com/v1/audio-analysis/7DfWLV07uZV3rwoKvO6TjI,Young the Giant,0.673,242627,0.748,7DfWLV07uZV3rwoKvO6TjI,0.00134,11,0.146,-4.206,0,0.0268,108.981,4,https://api.spotify.com/v1/tracks/7DfWLV07uZV3rwoKvO6TjI,audio_features,spotify:track:7DfWLV07uZV3rwoKvO6TjI,0.444
You + I,0.0995,https://api.spotify.com/v1/audio-analysis/3rSkiyzwE3oQXhvMqobU0e,Young the Giant,0.624,254333,0.462,3rSkiyzwE3oQXhvMqobU0e,0.000104,7,0.399,-9.402,1,0.0343,158.081,4,https://api.spotify.com/v1/tracks/3rSkiyzwE3oQXhvMqobU0e,audio_features,spotify:track:3rSkiyzwE3oQXhvMqobU0e,0.433
Mirror Master,0.000614,https://api.spotify.com/v1/audio-analysis/4s8PTe1uUoqcaAmveIKAxJ,Young the Giant,0.463,249747,0.859,4s8PTe1uUoqcaAmveIKAxJ,0.0,9,0.413,-4.518,1,0.0508,159.906,4,https://api.spotify.com/v1/tracks/4s8PTe1uUoqcaAmveIKAxJ,audio_features,spotify:track:4s8PTe1uUoqcaAmveIKAxJ,0.671
carmen,0.0212,https://api.spotify.com/v1/audio-analysis/35R4dLhlSbpnUoBYNdADu5,Stromae,0.662,189027,0.824,35R4dLhlSbpnUoBYNdADu5,0.000149,8,0.343,-8.016,1,0.102,150.011,4,https://api.spotify.com/v1/tracks/35R4dLhlSbpnUoBYNdADu5,audio_features,spotify:track:35R4dLhlSbpnUoBYNdADu5,0.573
