title,acousticness,analysis_url,artist,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
TEMPTATION,0.397,https://api.spotify.com/v1/audio-analysis/7L9g4cPfohScjJ8mGwLQWr,Joey Bada$$,0.775,244198,0.707,7L9g4cPfohScjJ8mGwLQWr,0.0,10,0.874,-5.339,0,0.152,104.979,4,https://api.spotify.com/v1/tracks/7L9g4cPfohScjJ8mGwLQWr,audio_features,spotify:track:7L9g4cPfohScjJ8mGwLQWr,0.78
6 Summers,0.0774,https://api.spotify.com/v1/audio-analysis/0lG7iyNSstVOLV6faMIHdD,Anderson .Paak,0.649,282987,0.587,0lG7iyNSstVOLV6faMIHdD,0.0,5,0.377,-10.5,0,0.316,92.871,4,https://api.spotify.com/v1/tracks/0lG7iyNSstVOLV6faMIHdD,audio_features,spotify:track:0lG7iyNSstVOLV6faMIHdD,0.513
Elektrotechnique,0.00862,https://api.spotify.com/v1/audio-analysis/4iokaUMy5fAVwJbfE6C4GA,De Jeugd Van Tegenwoordig,0.769,168307,0.757,4iokaUMy5fAVwJbfE6C4GA,0.000815,6,0.686,-4.745,0,0.374,119.925,4,https://api.spotify.com/v1/tracks/4iokaUMy5fAVwJbfE6C4GA,audio_features,spotify:track:4iokaUMy5fAVwJbfE6C4GA,0.795
Famous,0.0711,https://api.spotify.com/v1/audio-analysis/19a3JfW8BQwqHWUMbcqSx8,Kanye West,0.465,196040,0.735,19a3JfW8BQwqHWUMbcqSx8,0.0,6,0.0975,-3.715,1,0.117,173.935,4,https://api.spotify.com/v1/tracks/19a3JfW8BQwqHWUMbcqSx8,audio_features,spotify:track:19a3JfW8BQwqHWUMbcqSx8,0.409
Gorgeous,0.0207,https://api.spotify.com/v1/audio-analysis/23SZWX2IaDnxmhFsSLvkG2,Kanye West,0.603,357653,0.713,23SZWX2IaDnxmhFsSLvkG2,0.000179,1,0.431,-3.625,0,0.0317,91.953,4,https://api.spotify.com/v1/tracks/23SZWX2IaDnxmhFsSLvkG2,audio_features,spotify:track:23SZWX2IaDnxmhFsSLvkG2,0.12
All Of The Lights,0.0796,https://api.spotify.com/v1/audio-analysis/22L7bfCiAkJo5xGSQgmiIO,Kanye West,0.541,299613,0.803,22L7bfCiAkJo5xGSQgmiIO,1.71e-05,1,0.176,-3.284,1,0.0738,142.135,4,https://api.spotify.com/v1/tracks/22L7bfCiAkJo5xGSQgmiIO,audio_features,spotify:track:22L7bfCiAkJo5xGSQgmiIO,0.221
FUN!,0.616,https://api.spotify.com/v1/audio-analysis/41uX0L4bro4KfKtDIIEFFe,Vince Staples,0.953,171107,0.554,41uX0L4bro4KfKtDIIEFFe,0.000869,0,0.106,-5.12,1,0.076,101.011,4,https://api.spotify.com/v1/tracks/41uX0L4bro4KfKtDIIEFFe,audio_features,spotify:track:41uX0L4bro4KfKtDIIEFFe,0.457
Feels Like Summer,0.167,https://api.spotify.com/v1/audio-analysis/5zEeiQbazUWskpZNhnh6i2,Vince Staples,0.851,149027,0.602,5zEeiQbazUWskpZNhnh6i2,7.25e-06,8,0.733,-6.132,1,0.205,100.0,4,https://api.spotify.com/v1/tracks/5zEeiQbazUWskpZNhnh6i2,audio_features,spotify:track:5zEeiQbazUWskpZNhnh6i2,0.651
Kill Us All (feat. Denzel Curry),0.0137,https://api.spotify.com/v1/audio-analysis/2DBxhQbwnuXDioUVdL33S2,The Neighbourhood,0.547,161947,0.639,2DBxhQbwnuXDioUVdL33S2,0.0,2,0.305,-6.958,1,0.117,90.098,4,https://api.spotify.com/v1/tracks/2DBxhQbwnuXDioUVdL33S2,audio_features,spotify:track:2DBxhQbwnuXDioUVdL33S2,0.399
Les Champs-Elysées,0.456,https://api.spotify.com/v1/audio-analysis/4VWbPQUPvLes814r6T11Jz,Joe Dassin,0.783,157627,0.454,4VWbPQUPvLes814r6T11Jz,0.0,4,0.155,-8.251,1,0.0489,111.577,4,https://api.spotify.com/v1/tracks/4VWbPQUPvLes814r6T11Jz,audio_features,spotify:track:4VWbPQUPvLes814r6T11Jz,0.711
3WW (feat. Lomepal) - Lomepal Version,0.621,https://api.spotify.com/v1/audio-analysis/5sjIe9lmoNQ6BCCPTsBth1,alt-J,0.476,195685,0.512,5sjIe9lmoNQ6BCCPTsBth1,0.0,2,0.218,-10.259,1,0.109,143.463,3,https://api.spotify.com/v1/tracks/5sjIe9lmoNQ6BCCPTsBth1,audio_features,spotify:track:5sjIe9lmoNQ6BCCPTsBth1,0.239
Ramenez la coupe à la maison,0.0358,https://api.spotify.com/v1/audio-analysis/1m0UFnuTktOkksvjbF9z0m,Vegedream,0.808,235556,0.661,1m0UFnuTktOkksvjbF9z0m,0.0,0,0.138,-6.237,0,0.0395,107.992,4,https://api.spotify.com/v1/tracks/1m0UFnuTktOkksvjbF9z0m,audio_features,spotify:track:1m0UFnuTktOkksvjbF9z0m,0.804
